Name,Critic_Score,Critic_Count,User_Score,User_Count
Wii Sports,76.0,51.0,8.0,324.0
Mario Kart Wii,82.0,73.0,8.3,712.0
Wii Sports Resort,80.0,73.0,8.0,193.0
New Super Mario Bros.,89.0,65.0,8.5,433.0
Wii Play,58.0,41.0,6.6,129.0
New Super Mario Bros. Wii,87.0,80.0,8.4,595.0
Mario Kart DS,91.0,64.0,8.6,465.0
Wii Fit,80.0,63.0,7.7,146.0
Kinect Adventures!,61.0,45.0,6.3,106.0
Wii Fit Plus,80.0,33.0,7.4,52.0
Grand Theft Auto V,97.0,50.0,8.2,4009.0
Grand Theft Auto: San Andreas,95.0,80.0,9.0,1606.0
Brain Age: Train Your Brain in Minutes a Day,77.0,58.0,7.9,50.0
Grand Theft Auto V (2),97.0,58.0,8.1,3722.0
Grand Theft Auto: Vice City,95.0,62.0,8.7,736.0
Brain Age 2: More Training in Minutes a Day,77.0,37.0,7.1,19.0
Gran Turismo 3: A-Spec,95.0,54.0,8.4,314.0
Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8715.0
Call of Duty: Black Ops,87.0,89.0,6.3,1456.0
Call of Duty: Black Ops II,83.0,21.0,5.3,921.0
Call of Duty: Black Ops II (2),83.0,73.0,4.8,2261.0
Call of Duty: Modern Warfare 2,94.0,100.0,6.3,2702.0
Grand Theft Auto V (3),97.0,66.0,8.3,2955.0
Call of Duty: Modern Warfare 3 (2),88.0,39.0,3.2,5237.0
Grand Theft Auto III,97.0,56.0,8.5,667.0
Mario Kart 7,85.0,73.0,8.2,633.0
Super Smash Bros. Brawl,93.0,81.0,8.9,1667.0
Call of Duty: Black Ops (2),88.0,58.0,6.4,1095.0
Animal Crossing: Wild World,86.0,57.0,8.6,243.0
Halo 3,94.0,86.0,7.8,4109.0
Gran Turismo 4,89.0,74.0,8.5,273.0
Super Mario Galaxy,97.0,73.0,8.9,2159.0
Grand Theft Auto IV,98.0,86.0,7.9,2958.0
Gran Turismo,96.0,16.0,8.8,140.0
Super Mario 3D Land,90.0,82.0,8.4,925.0
Gran Turismo 5,84.0,82.0,7.5,1115.0
Call of Duty: Modern Warfare 2 (2),94.0,67.0,6.3,2077.0
Grand Theft Auto IV (2),98.0,64.0,7.5,2849.0
Call of Duty: Ghosts,73.0,29.0,2.6,2118.0
Just Dance 3,74.0,15.0,7.8,16.0
New Super Mario Bros. 2,78.0,70.0,7.2,425.0
Halo: Reach,91.0,99.0,7.9,2053.0
Halo 4,87.0,87.0,7.0,3273.0
Final Fantasy VII,92.0,20.0,9.2,1297.0
Gran Turismo 2,93.0,23.0,9.0,135.0
Just Dance 2,74.0,24.0,7.3,24.0
Call of Duty: Ghosts (2),71.0,10.0,2.6,1049.0
Call of Duty 4: Modern Warfare,94.0,70.0,8.4,1322.0
Animal Crossing: New Leaf,88.0,70.0,8.7,628.0
FIFA 17,85.0,41.0,4.9,442.0
Mario Party DS,72.0,27.0,7.8,85.0
The Elder Scrolls V: Skyrim,96.0,89.0,8.4,3602.0
FIFA 16,82.0,42.0,4.3,902.0
Halo 2,95.0,91.0,8.2,1224.0
Wii Party,68.0,42.0,7.5,55.0
Mario Party 8,62.0,41.0,6.3,191.0
FIFA Soccer 13,88.0,37.0,6.5,350.0
Final Fantasy X,92.0,53.0,8.7,1077.0
The Sims 3,86.0,75.0,7.6,894.0
Final Fantasy VIII,90.0,24.0,8.6,658.0
Pok\xc3\xa9mon Platinum Version,83.0,46.0,8.5,204.0
Grand Theft Auto: Liberty City Stories,88.0,65.0,7.6,453.0
Call of Duty: Advanced Warfare,83.0,39.0,5.7,1446.0
Super Mario Galaxy 2,97.0,87.0,9.1,1859.0
Call of Duty: World at War,84.0,84.0,7.6,583.0
Fallout 4,87.0,58.0,6.5,4258.0
Battlefield 3,84.0,57.0,7.4,2144.0
Uncharted 4: A Thiefs End,93.0,113.0,7.9,7238.0
